date,Actual,GBM,GBM_Div,GBM_Div_AV,GBM_Div_EMS,GBM_Div_CV
2023-10-11,1113.01,1090.719874167403,1121.079024156614,1120.9487808994,1121.0147184943835,1121.0790400628835
2023-10-12,1115.65,1092.3038535747005,1122.6458248456183,1122.671430676876,1122.6189782771971,1122.645841865482
2023-10-13,1109.03,1089.1024314804404,1119.2887176988602,1118.8895015249943,1118.9000206527182,1119.2887341997907
2023-10-16,1115.71,1084.3654260141736,1114.3437802630376,1115.2714633933347,1115.116858988179,1114.3438025335745
2023-10-17,1115.1,1090.7193358379857,1120.80502948803,1121.686670156004,1121.6730644589766,1120.8050579271844
2023-10-18,1108.82,1089.3826697929499,1119.3648506452332,1122.4919541236918,1121.9767974383753,1119.3648898521067
2023-10-19,1103.09,1085.681528609344,1115.4841615677726,1112.9495020773693,1113.1660595447436,1115.4841966515844
2023-10-20,1093.92,1077.3343496963662,1106.8423086051532,1107.8345552603587,1107.956145714629,1106.842346019227
2023-10-23,1094.05,1069.731644512472,1098.9609302928013,1098.4316682022684,1098.1875734954804,1098.9609648981716
2023-10-24,1094.27,1066.4159739922657,1095.4868864401012,1097.4350605412462,1097.5203592286632,1095.4869330085446
2023-10-25,1090.25,1074.8543699751037,1104.094723354834,1102.9199107158688,1102.8086789919219,1104.0947700896247
2023-10-26,1081.49,1062.3390998533102,1091.1594618958868,1092.7997948570255,1092.8145868359265,1091.1595123578556
2023-10-27,1081.05,1055.1857393071634,1083.7383102726888,1083.670960507514,1083.8853783643842,1083.738358654521
2023-10-30,1082.03,1051.4478919002438,1079.8337677423692,1079.4502918888652,1079.598235847283,1079.833817535772
2023-10-31,1086.65,1060.2615344937603,1088.8141891616226,1089.0867887341665,1089.2755741981618,1088.814250557656
2023-11-01,1092.66,1068.7961873928302,1097.5194777535762,1097.0329500455082,1096.9011634888107,1097.5195368643037
2023-11-02,1105.86,1075.7962273164335,1104.6345838809946,1104.2085451679532,1104.3139150668069,1104.63464306881
2023-11-03,1118.59,1092.046955409025,1121.2555139374824,1122.1971190882323,1122.4483801777837,1121.255582179297
2023-11-06,1118.63,1100.100497528605,1129.4531804055023,1128.4055306763905,1128.2845749931073,1129.4532490156985
2023-11-07,1120.42,1102.1628477038155,1131.512559203144,1130.6286632489912,1130.8559421629075,1131.5126322727044
2023-11-08,1120.55,1104.8581654268787,1134.2033752755756,1132.9402087228389,1133.043692104958,1134.2034515955231
2023-11-09,1121.74,1101.2606024303202,1130.4373743319074,1132.3772236627976,1132.1470200166225,1130.4374596237767
